team,season,name,gameId,opposingTeam,home_or_away,situation,penaltiesFor,penaltiesAgainst,delta,total
CGY,2008,CGY,2008020041,COL,HOME,all,7,7,0,14
COL,2008,COL,2008020041,CGY,AWAY,all,7,7,0,14
L.A,2008,L.A,2008020042,ANA,HOME,all,9,13,4,22
ANA,2008,ANA,2008020042,L.A,AWAY,all,13,9,4,22
CBJ,2008,CBJ,2008020043,S.J,AWAY,all,3,7,4,10
S.J,2008,S.J,2008020043,CBJ,HOME,all,7,3,4,10
NYR,2008,NYR,2008020044,BUF,HOME,all,6,5,1,11
BUF,2008,BUF,2008020044,NYR,AWAY,all,5,6,1,11
MTL,2008,MTL,2008020045,BOS,HOME,all,8,6,2,14
BOS,2008,BOS,2008020045,MTL,AWAY,all,6,8,2,14
ARI,2008,ARI,2008020046,CHI,AWAY,all,10,11,1,21
CHI,2008,CHI,2008020046,ARI,HOME,all,11,10,1,21
NSH,2008,NSH,2008020047,DAL,AWAY,all,6,6,0,12
DAL,2008,DAL,2008020047,NSH,HOME,all,6,6,0,12
EDM,2008,EDM,2008020048,ANA,AWAY,all,2,4,2,6
ANA,2008,ANA,2008020048,EDM,HOME,all,4,2,2,6
N.J,2008,N.J,2008020049,ATL,AWAY,all,5,3,2,8
ATL,2008,ATL,2008020049,N.J,HOME,all,3,5,2,8
PIT,2008,PIT,2008020050,WSH,HOME,all,5,6,1,11
WSH,2008,WSH,2008020050,PIT,AWAY,all,6,5,1,11
NYI,2008,NYI,2008020051,T.B,AWAY,all,7,10,3,17
T.B,2008,T.B,2008020051,NYI,HOME,all,10,7,3,17
MIN,2008,MIN,2008020052,FLA,AWAY,all,7,7,0,14
FLA,2008,FLA,2008020052,MIN,HOME,all,7,7,0,14
DET,2008,DET,2008020053,VAN,HOME,all,5,6,1,11
VAN,2008,VAN,2008020053,DET,AWAY,all,6,5,1,11
DAL,2008,DAL,2008020054,STL,AWAY,all,5,3,2,8
STL,2008,STL,2008020054,DAL,HOME,all,3,5,2,8
COL,2008,COL,2008020055,PHI,HOME,all,9,12,3,21
PHI,2008,PHI,2008020055,COL,AWAY,all,12,9,3,21
OTT,2008,OTT,2008020056,ARI,HOME,all,0,3,3,3
